region	sector	indout
BE	Kerosene Type Jet Fuel	1284.41742393
BE	Kerosene	35.3051291823
BE	Gas/Diesel Oil	8793.07960242
BE	Heavy Fuel Oil	2349.99092853
BE	Refinery Gas	56.0679373436
BE	Liquefied Petroleum Gases (LPG)	391.334329411
BE	Refinery Feedstocks	1859.22072593
BE	Ethane	2.45144790178
BE	Naphtha	457.312208012
BE	White Spirit & SBP	113.389730952
BE	Lubricants	48.0248370686
BE	Bitumen	352.625076042
BE	Paraffin Waxes	3.57614523855
BE	Petroleum Coke	27.2660226935
BE	Non-specified Petroleum Products	1169.7317747
BE	Nuclear fuel	12.6531705452
BE	Plastics, basic	14508.3268095
BE	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
BE	N-fertiliser	80.9472644439
BE	P- and other fertiliser	180.903397524
BE	Chemicals nec	4938.91568927
BE	Charcoal	9.71471158128
BE	Additives/Blending Components	64.7532820054
BE	Biogasoline	0.119797550547
BE	Biodiesels	30.4199939915
BE	Other Liquid Biofuels	27.045094334
BE	Rubber and plastic products (25)	9763.409645
BE	Glass and glass products	1974.72395079
BE	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
BE	Ceramic goods	372.631390278
BE	Bricks, tiles and construction products, in baked clay	855.662034015
BE	Cement, lime and plaster	5532.40992421
BE	Ash for treatment, Re-processing of ash into clinker	0
BE	Other non-metallic mineral products	1829.50223256
BE	Basic iron and steel and of ferro-alloys and first products thereof	8183.53256534
BE	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
BE	Precious metals	6193.19992788
BE	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
BE	Aluminium and aluminium products	4004.41251862
BE	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
BE	Lead, zinc and tin and products thereof	505.522565719
BE	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
BE	Copper products	11160.7094135
BE	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
BE	Other non-ferrous metal products	925.91080221
BE	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
BE	Foundry work services	565.729583555
BE	Fabricated metal products, except machinery and equipment (28)	16617.7584307
BE	Machinery and equipment n.e.c. (29)	18081.8978102
BE	Office machinery and computers (30)	1823.46637967
BE	Electrical machinery and apparatus n.e.c. (31)	12776.9280619
BE	Radio, television and communication equipment and apparatus (32)	3586.73957155
BE	Medical, precision and optical instruments, watches and clocks (33)	3933.76365195
BE	Motor vehicles, trailers and semi-trailers (34)	26336.7752722
BE	Other transport equipment (35)	2999.98834255
BE	Furniture; other manufactured goods n.e.c. (36)	7903.21961633
BE	Secondary raw materials	0.36617225927
BE	Bottles for treatment, Recycling of bottles by direct reuse	0
BE	Electricity by coal	414.546384058
BE	Electricity by gas	1973.10407089
BE	Electricity by nuclear	4217.07769998
BE	Electricity by hydro	28.217055028
BE	Electricity by wind	85.2435546189
BE	Electricity by petroleum and other oil derivatives	42.6788844387
BE	Electricity by biomass and waste	321.091665346
BE	Electricity by solar photovoltaic	34.2602197805
BE	Electricity by solar thermal	4.82366849602e-05
BE	Electricity by tide, wave, ocean	0.00297045531456
BE	Electricity by Geothermal	0.0549962110162
BE	Electricity nec	168.010052907
BE	Transmission services of electricity	1620.61183399
BE	Distribution and trade services of electricity	7440.89470949
BE	Coke oven gas	16.0984886072
BE	Blast Furnace Gas	3.37930977795
BE	Oxygen Steel Furnace Gas	0.0245637833239
BE	Gas Works Gas	0.0107151676601
BE	Biogas	9.31982696939
BE	Distribution services of gaseous fuels through mains	2878.97317452
BE	Steam and hot water supply services	4.47940675217
BE	Collected and purified water, distribution services of water (41)	1520.72383289
BE	Construction work (45)	81836.0860664
BE	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
BE	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	7583.13815897
BE	Retail trade services of motor fuel	404.617981577
BE	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	39756.6903087
BE	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	976.223266762
BE	Hotel and restaurant services (55)	19199.3479439
BE	Railway transportation services	7580.32910836
BE	Other land transportation services	23079.7303257
BE	Transportation services via pipelines	462.049652631
BE	Sea and coastal water transportation services	8858.70574812
BE	Inland water transportation services	1048.17092648
BE	Air transport services (62)	6503.26309766
BE	Supporting and auxiliary transport services; travel agency services (63)	39417.5275483
BE	Post and telecommunication services (64)	24140.7696381
BE	Financial intermediation services, except insurance and pension funding services (65)	13596.7186614
BE	Insurance and pension funding services, except compulsory social security services (66)	12313.2195767
BE	Services auxiliary to financial intermediation (67)	23900.8569959
BE	Real estate services (70)	62456.9416225
BE	Renting services of machinery and equipment without operator and of personal and household goods (71)	16747.0920167
BE	Computer and related services (72)	24663.2767941
BE	Research and development services (73)	11308.7896587
BE	Other business services (74)	113472.341429
BE	Public administration and defence services; compulsory social security services (75)	32847.4686319
BE	Education services (80)	28559.9663879
BE	Health and social work services (85)	51753.9969836
BE	Food waste for treatment: incineration	778.384968847
BE	Paper waste for treatment: incineration	790.636909983
BE	Plastic waste for treatment: incineration	780.197816566
BE	Intert/metal waste for treatment: incineration	2114.2664946
BE	Textiles waste for treatment: incineration	203.619665993
BE	Wood waste for treatment: incineration	349.467878532
BE	Oil/hazardous waste for treatment: incineration	1170.92996278
BE	Food waste for treatment: biogasification and land application	214.446515697
BE	Paper waste for treatment: biogasification and land application	54.125287782
BE	Sewage sludge for treatment: biogasification and land application	577.645173334
BE	Food waste for treatment: composting and land application	1064.13131852
BE	Paper and wood waste for treatment: composting and land application	5.17917409933
BE	Food waste for treatment: waste water treatment	501.323596619
BE	Other waste for treatment: waste water treatment	980.992858632
BE	Food waste for treatment: landfill	392.05170461
BE	Paper for treatment: landfill	332.538460535
BE	Plastic waste for treatment: landfill	191.972041129
BE	Inert/metal/hazardous waste for treatment: landfill	446.028801283
BE	Textiles waste for treatment: landfill	42.7030717366
BE	Wood waste for treatment: landfill	51.3532974954
BE	Membership organisation services n.e.c. (91)	4202.32563162
BE	Recreational, cultural and sporting services (92)	16898.6991946
